x,y,theta,x_dot,y_dot,theta_dot
-2.5,3.45,0,0.5,0,0
-2.49445,3.45,0,0.5,0,0
-2.4889,3.45,0,0.5,0,0
-2.48335,3.45,0,0.5,0,0
-2.4778,3.45,0,0.5,0,0
-2.4722,3.45,0,0.5,0,0
-2.46665,3.45,0,0.5,0,0
-2.4611,3.45,0,0.5,0,0
-2.45555,3.45,0,0.5,0,0
-2.45,3.45,0,0.5,0,0
-2.44445,3.45,0,0.5,0,0
-2.4389,3.45,0,0.5,0,0
-2.43335,3.45,0,0.5,0,0
-2.4278,3.45,0,0.5,0,0
-2.4222,3.45,0,0.5,0,0
-2.41665,3.45,0,0.5,0,0
-2.4111,3.45,0,0.5,0,0
-2.40555,3.45,0,0.5,0,0
-2.4,3.45,0,0.5,0,0
-2.39445,3.45,0,0.5,0,0
-2.3889,3.45,0,0.5,0,0
-2.38335,3.45,0,0.5,0,0
-2.3778,3.45,0,0.5,0,0
-2.3722,3.45,0,0.5,0,0
-2.36665,3.45,0,0.5,0,0
-2.3611,3.45,0,0.5,0,0
-2.35555,3.45,0,0.5,0,0
-2.35,3.45,1.571,0,0.5,0
-2.35,3.44445,1.571,0,0.5,0
-2.35,3.4389,1.571,0,0.5,0
-2.35,3.43335,1.571,0,0.5,0
-2.35,3.4278,1.571,0,0.5,0
-2.35,3.4222,1.571,0,0.5,0
-2.35,3.41665,1.571,0,0.5,0
-2.35,3.4111,1.571,0,0.5,0
-2.35,3.40555,1.571,0,0.5,0
-2.35,3.4,0,0.5,0,0
-2.34444999999999,3.4,0,0.5,0,0
-2.3389,3.4,0,0.5,0,0
-2.33335,3.4,0,0.5,0,0
-2.3278,3.4,0,0.5,0,0
-2.3222,3.4,0,0.5,0,0
-2.31665,3.4,0,0.5,0,0
-2.3111,3.4,0,0.5,0,0
-2.30555,3.4,0,0.5,0,0
-2.3,3.4,0,0.5,0,0
-2.29445,3.4,0,0.5,0,0
-2.2889,3.4,0,0.5,0,0
-2.28335,3.4,0,0.5,0,0
-2.2778,3.4,0,0.5,0,0
-2.2722,3.4,0,0.5,0,0
-2.26665,3.4,0,0.5,0,0
-2.2611,3.4,0,0.5,0,0
-2.25555,3.4,0,0.5,0,0
-2.25,3.4,0,0.5,0,0
-2.24445,3.4,0,0.5,0,0
-2.2389,3.4,0,0.5,0,0
-2.23335,3.4,0,0.5,0,0
-2.2278,3.4,0,0.5,0,0
-2.2222,3.4,0,0.5,0,0
-2.21665,3.4,0,0.5,0,0
-2.2111,3.4,0,0.5,0,0
-2.20555,3.4,0,0.5,0,0
-2.2,3.4,0,0.5,0,0
-2.19445,3.4,0,0.5,0,0
-2.1889,3.4,0,0.5,0,0
-2.18335,3.4,0,0.5,0,0
-2.1778,3.4,0,0.5,0,0
-2.1722,3.4,0,0.5,0,0
-2.16665,3.4,0,0.5,0,0
-2.1611,3.4,0,0.5,0,0
-2.15555,3.4,0,0.5,0,0
-2.15,3.4,1.571,0,0.5,0
-2.15,3.39445,1.571,0,0.5,0
-2.15,3.38889999999999,1.571,0,0.5,0
-2.15,3.38335,1.571,0,0.5,0
-2.15,3.3778,1.571,0,0.5,0
-2.15,3.3722,1.571,0,0.5,0
-2.15,3.36665,1.571,0,0.5,0
-2.15,3.3611,1.571,0,0.5,0
-2.15,3.35554999999999,1.571,0,0.5,0
-2.15,3.35,0,0.5,0,0
-2.14445,3.35,0,0.5,0,0
-2.1389,3.35,0,0.5,0,0
-2.13335,3.35,0,0.5,0,0
-2.1278,3.35,0,0.5,0,0
-2.1222,3.35,0,0.5,0,0
-2.11665,3.35,0,0.5,0,0
-2.1111,3.35,0,0.5,0,0
-2.10555,3.35,0,0.5,0,0
-2.1,3.35,0,0.5,0,0
-2.09444999999999,3.35,0,0.5,0,0
-2.0889,3.35,0,0.5,0,0
-2.08335,3.35,0,0.5,0,0
-2.0778,3.35,0,0.5,0,0
-2.0722,3.35,0,0.5,0,0
-2.06665,3.35,0,0.5,0,0
-2.0611,3.35,0,0.5,0,0
-2.05555,3.35,0,0.5,0,0
-2.05,3.35,0,0.5,0,0
-2.04445,3.35,0,0.5,0,0
-2.0389,3.35,0,0.5,0,0
-2.03335,3.35,0,0.5,0,0
-2.0278,3.35,0,0.5,0,0
-2.0222,3.35,0,0.5,0,0
-2.01665,3.35,0,0.5,0,0
-2.0111,3.35,0,0.5,0,0
-2.00555,3.35,0,0.5,0,0
-2,3.35,0,0.5,0,0
-1.99444999999999,3.35,0,0.5,0,0
-1.9889,3.35,0,0.5,0,0
-1.98335,3.35,0,0.5,0,0
-1.9778,3.35,0,0.5,0,0
