x,y,theta,x_dot,y_dot,theta_dot
125,617,0.483,0.443,0.232,0
125.089,617.047,0.483,0.443,0.232,0
125.178,617.093,0.483,0.443,0.232,0
125.267,617.14,0.483,0.443,0.232,0
125.356,617.186,0.483,0.443,0.232,0
125.445,617.233,0.483,0.443,0.232,0
125.534,617.28,0.483,0.443,0.232,0
125.623,617.326,0.483,0.443,0.232,0
125.712,617.373,0.483,0.443,0.232,0
125.801,617.419,0.483,0.443,0.232,0
125.89,617.466,0.483,0.443,0.232,0
125.979,617.513,0.483,0.443,0.232,0
126.068,617.559,0.483,0.443,0.232,0
126.157,617.606,0.483,0.443,0.232,0
126.246,617.653,0.483,0.443,0.232,0
126.335,617.699,0.483,0.443,0.232,0
126.424,617.746,0.483,0.443,0.232,0
126.513,617.792,0.483,0.443,0.232,0
126.602,617.839,0.483,0.443,0.232,0
126.691,617.886,0.483,0.443,0.232,0
126.78,617.932,0.483,0.443,0.232,0
126.869,617.979,0.483,0.443,0.232,0
126.958,618.025,0.483,0.443,0.232,0
127.047,618.072,0.483,0.443,0.232,0
127.136,618.119,0.483,0.443,0.232,0
127.225,618.165,0.483,0.443,0.232,0
127.314,618.212,0.483,0.443,0.232,0
127.403,618.258,0.483,0.443,0.232,0
127.492,618.305,0.483,0.443,0.232,0
127.581,618.352,0.483,0.443,0.232,0
127.669,618.398,0.483,0.443,0.232,0
127.758,618.445,0.483,0.443,0.232,0
127.847,618.492,0.483,0.443,0.232,0
127.936,618.538,0.483,0.443,0.232,0
128.025,618.585,0.483,0.443,0.232,0
128.114,618.631,0.483,0.443,0.232,0
128.203,618.678,0.483,0.443,0.232,0
128.292,618.725,0.483,0.443,0.232,0
128.381,618.771,0.483,0.443,0.232,0
128.47,618.818,0.483,0.443,0.232,0
128.559,618.864,0.483,0.443,0.232,0
128.648,618.911,0.483,0.443,0.232,0
128.737,618.958,0.483,0.443,0.232,0
128.826,619.004,0.483,0.443,0.232,0
128.915,619.051,0.483,0.443,0.232,0
129.004,619.097,0.483,0.443,0.232,0
129.093,619.144,0.483,0.443,0.232,0
129.182,619.191,0.483,0.443,0.232,0
129.271,619.237,0.483,0.443,0.232,0
129.36,619.284,0.483,0.443,0.232,0
129.449,619.331,0.483,0.443,0.232,0
129.538,619.377,0.483,0.443,0.232,0
129.627,619.424,0.483,0.443,0.232,0
129.716,619.47,0.483,0.443,0.232,0
129.805,619.517,0.483,0.443,0.232,0
129.894,619.564,0.483,0.443,0.232,0
129.983,619.61,0.483,0.443,0.232,0
130.072,619.657,0.483,0.443,0.232,0
130.161,619.703,0.483,0.443,0.232,0
130.25,619.75,0.483,0.443,0.232,0
130.339,619.797,0.483,0.443,0.232,0
130.428,619.843,0.483,0.443,0.232,0
130.517,619.89,0.483,0.443,0.232,0
130.606,619.936,0.483,0.443,0.232,0
130.695,619.983,0.483,0.443,0.232,0
130.784,620.03,0.483,0.443,0.232,0
130.873,620.076,0.483,0.443,0.232,0
130.962,620.123,0.483,0.443,0.232,0
131.051,620.169,0.483,0.443,0.232,0
131.14,620.216,0.483,0.443,0.232,0
131.229,620.263,0.483,0.443,0.232,0
131.318,620.309,0.483,0.443,0.232,0
131.407,620.356,0.483,0.443,0.232,0
131.496,620.403,0.483,0.443,0.232,0
131.585,620.449,0.483,0.443,0.232,0
131.674,620.496,0.483,0.443,0.232,0
131.763,620.542,0.483,0.443,0.232,0
131.852,620.589,0.483,0.443,0.232,0
131.941,620.636,0.483,0.443,0.232,0
132.03,620.682,0.483,0.443,0.232,0
132.119,620.729,0.483,0.443,0.232,0
132.208,620.775,0.483,0.443,0.232,0
132.297,620.822,0.483,0.443,0.232,0
132.386,620.869,0.483,0.443,0.232,0
132.475,620.915,0.483,0.443,0.232,0
132.564,620.962,0.483,0.443,0.232,0
132.653,621.008,0.483,0.443,0.232,0
132.742,621.055,0.483,0.443,0.232,0
132.831,621.102,0.483,0.443,0.232,0
132.919,621.148,0.483,0.443,0.232,0
133.008,621.195,0.483,0.443,0.232,0
133.097,621.242,0.483,0.443,0.232,0
133.186,621.288,0.483,0.443,0.232,0
133.275,621.335,0.483,0.443,0.232,0
133.364,621.381,0.483,0.443,0.232,0
133.453,621.428,0.483,0.443,0.232,0
133.542,621.475,0.483,0.443,0.232,0
133.631,621.521,0.483,0.443,0.232,0
133.72,621.568,0.483,0.443,0.232,0
133.809,621.614,0.483,0.443,0.232,0
133.898,621.661,0.483,0.443,0.232,0
133.987,621.708,0.483,0.443,0.232,0
134.076,621.754,0.483,0.443,0.232,0
134.165,621.801,0.483,0.443,0.232,0
134.254,621.847,0.483,0.443,0.232,0
134.343,621.894,0.483,0.443,0.232,0
134.432,621.941,0.483,0.443,0.232,0
134.521,621.987,0.483,0.443,0.232,0
134.61,622.034,0.483,0.443,0.232,0
134.699,622.081,0.483,0.443,0.232,0
134.788,622.127,0.483,0.443,0.232,0
134.877,622.174,0.483,0.443,0.232,0
134.966,622.22,0.483,0.443,0.232,0
135.055,622.267,0.483,0.443,0.232,0
135.144,622.314,0.483,0.443,0.232,0
135.233,622.36,0.483,0.443,0.232,0
135.322,622.407,0.483,0.443,0.232,0
135.411,622.453,0.483,0.443,0.232,0
135.5,622.5,0.483,0.443,0.232,0
135.589,622.547,0.483,0.443,0.232,0
135.678,622.593,0.483,0.443,0.232,0
135.767,622.64,0.483,0.443,0.232,0
135.856,622.686,0.483,0.443,0.232,0
135.945,622.733,0.483,0.443,0.232,0
136.034,622.78,0.483,0.443,0.232,0
136.123,622.826,0.483,0.443,0.232,0
136.212,622.873,0.483,0.443,0.232,0
136.301,622.919,0.483,0.443,0.232,0
136.39,622.966,0.483,0.443,0.232,0
136.479,623.013,0.483,0.443,0.232,0
136.568,623.059,0.483,0.443,0.232,0
136.657,623.106,0.483,0.443,0.232,0
136.746,623.153,0.483,0.443,0.232,0
136.835,623.199,0.483,0.443,0.232,0
136.924,623.246,0.483,0.443,0.232,0
137.013,623.292,0.483,0.443,0.232,0
137.102,623.339,0.483,0.443,0.232,0
137.191,623.386,0.483,0.443,0.232,0
137.28,623.432,0.483,0.443,0.232,0
137.369,623.479,0.483,0.443,0.232,0
137.458,623.525,0.483,0.443,0.232,0
137.547,623.572,0.483,0.443,0.232,0
137.636,623.619,0.483,0.443,0.232,0
137.725,623.665,0.483,0.443,0.232,0
137.814,623.712,0.483,0.443,0.232,0
137.903,623.758,0.483,0.443,0.232,0
137.992,623.805,0.483,0.443,0.232,0
138.081,623.852,0.483,0.443,0.232,0
138.169,623.898,0.483,0.443,0.232,0
138.258,623.945,0.483,0.443,0.232,0
138.347,623.992,0.483,0.443,0.232,0
138.436,624.038,0.483,0.443,0.232,0
138.525,624.085,0.483,0.443,0.232,0
138.614,624.131,0.483,0.443,0.232,0
138.703,624.178,0.483,0.443,0.232,0
138.792,624.225,0.483,0.443,0.232,0
138.881,624.271,0.483,0.443,0.232,0
138.97,624.318,0.483,0.443,0.232,0
139.059,624.364,0.483,0.443,0.232,0
139.148,624.411,0.483,0.443,0.232,0
139.237,624.458,0.483,0.443,0.232,0
139.326,624.504,0.483,0.443,0.232,0
139.415,624.551,0.483,0.443,0.232,0
139.504,624.597,0.483,0.443,0.232,0
139.593,624.644,0.483,0.443,0.232,0
139.682,624.691,0.483,0.443,0.232,0
139.771,624.737,0.483,0.443,0.232,0
139.86,624.784,0.483,0.443,0.232,0
139.949,624.831,0.483,0.443,0.232,0
140.038,624.877,0.483,0.443,0.232,0
140.127,624.924,0.483,0.443,0.232,0
140.216,624.97,0.483,0.443,0.232,0
140.305,625.017,0.483,0.443,0.232,0
140.394,625.064,0.483,0.443,0.232,0
140.483,625.11,0.483,0.443,0.232,0
140.572,625.157,0.483,0.443,0.232,0
140.661,625.203,0.483,0.443,0.232,0
140.75,625.25,0.483,0.443,0.232,0
140.839,625.297,0.483,0.443,0.232,0
140.928,625.343,0.483,0.443,0.232,0
141.017,625.39,0.483,0.443,0.232,0
141.106,625.436,0.483,0.443,0.232,0
141.195,625.483,0.483,0.443,0.232,0
141.284,625.53,0.483,0.443,0.232,0
141.373,625.576,0.483,0.443,0.232,0
141.462,625.623,0.483,0.443,0.232,0
141.551,625.669,0.483,0.443,0.232,0
141.64,625.716,0.483,0.443,0.232,0
141.729,625.763,0.483,0.443,0.232,0
141.818,625.809,0.483,0.443,0.232,0
141.907,625.856,0.483,0.443,0.232,0
141.996,625.903,0.483,0.443,0.232,0
142.085,625.949,0.483,0.443,0.232,0
142.174,625.996,0.483,0.443,0.232,0
142.263,626.042,0.483,0.443,0.232,0
142.352,626.089,0.483,0.443,0.232,0
142.441,626.136,0.483,0.443,0.232,0
142.53,626.182,0.483,0.443,0.232,0
142.619,626.229,0.483,0.443,0.232,0
142.708,626.275,0.483,0.443,0.232,0
142.797,626.322,0.483,0.443,0.232,0
142.886,626.369,0.483,0.443,0.232,0
142.975,626.415,0.483,0.443,0.232,0
143.064,626.462,0.483,0.443,0.232,0
143.153,626.508,0.483,0.443,0.232,0
143.242,626.555,0.483,0.443,0.232,0
143.331,626.602,0.483,0.443,0.232,0
143.419,626.648,0.483,0.443,0.232,0
143.508,626.695,0.483,0.443,0.232,0
143.597,626.742,0.483,0.443,0.232,0
143.686,626.788,0.483,0.443,0.232,0
143.775,626.835,0.483,0.443,0.232,0
143.864,626.881,0.483,0.443,0.232,0
143.953,626.928,0.483,0.443,0.232,0
144.042,626.975,0.483,0.443,0.232,0
144.131,627.021,0.483,0.443,0.232,0
144.22,627.068,0.483,0.443,0.232,0
144.309,627.114,0.483,0.443,0.232,0
144.398,627.161,0.483,0.443,0.232,0
144.487,627.208,0.483,0.443,0.232,0
144.576,627.254,0.483,0.443,0.232,0
144.665,627.301,0.483,0.443,0.232,0
144.754,627.347,0.483,0.443,0.232,0
144.843,627.394,0.483,0.443,0.232,0
144.932,627.441,0.483,0.443,0.232,0
145.021,627.487,0.483,0.443,0.232,0
145.11,627.534,0.483,0.443,0.232,0
145.199,627.581,0.483,0.443,0.232,0
145.288,627.627,0.483,0.443,0.232,0
145.377,627.674,0.483,0.443,0.232,0
145.466,627.72,0.483,0.443,0.232,0
145.555,627.767,0.483,0.443,0.232,0
145.644,627.814,0.483,0.443,0.232,0
145.733,627.86,0.483,0.443,0.232,0
145.822,627.907,0.483,0.443,0.232,0
145.911,627.953,0.483,0.443,0.232,0
146,628,-0.446,0.451,-0.216,0
146.091,627.957,-0.446,0.451,-0.216,0
146.181,627.913,-0.446,0.451,-0.216,0
146.272,627.87,-0.446,0.451,-0.216,0
146.362,627.827,-0.446,0.451,-0.216,0
146.453,627.783,-0.446,0.451,-0.216,0
146.543,627.74,-0.446,0.451,-0.216,0
146.634,627.697,-0.446,0.451,-0.216,0
146.724,627.654,-0.446,0.451,-0.216,0
146.815,627.61,-0.446,0.451,-0.216,0
146.906,627.567,-0.446,0.451,-0.216,0
146.996,627.524,-0.446,0.451,-0.216,0
147.087,627.48,-0.446,0.451,-0.216,0
147.177,627.437,-0.446,0.451,-0.216,0
147.268,627.394,-0.446,0.451,-0.216,0
147.358,627.35,-0.446,0.451,-0.216,0
147.449,627.307,-0.446,0.451,-0.216,0
147.539,627.264,-0.446,0.451,-0.216,0
147.63,627.22,-0.446,0.451,-0.216,0
147.72,627.177,-0.446,0.451,-0.216,0
147.811,627.134,-0.446,0.451,-0.216,0
147.902,627.091,-0.446,0.451,-0.216,0
147.992,627.047,-0.446,0.451,-0.216,0
148.083,627.004,-0.446,0.451,-0.216,0
148.173,626.961,-0.446,0.451,-0.216,0
148.264,626.917,-0.446,0.451,-0.216,0
148.354,626.874,-0.446,0.451,-0.216,0
148.445,626.831,-0.446,0.451,-0.216,0
148.535,626.787,-0.446,0.451,-0.216,0
148.626,626.744,-0.446,0.451,-0.216,0
148.717,626.701,-0.446,0.451,-0.216,0
148.807,626.657,-0.446,0.451,-0.216,0
148.898,626.614,-0.446,0.451,-0.216,0
148.988,626.571,-0.446,0.451,-0.216,0
149.079,626.528,-0.446,0.451,-0.216,0
149.169,626.484,-0.446,0.451,-0.216,0
149.26,626.441,-0.446,0.451,-0.216,0
149.35,626.398,-0.446,0.451,-0.216,0
149.441,626.354,-0.446,0.451,-0.216,0
149.531,626.311,-0.446,0.451,-0.216,0
149.622,626.268,-0.446,0.451,-0.216,0
149.713,626.224,-0.446,0.451,-0.216,0
149.803,626.181,-0.446,0.451,-0.216,0
149.894,626.138,-0.446,0.451,-0.216,0
149.984,626.094,-0.446,0.451,-0.216,0
150.075,626.051,-0.446,0.451,-0.216,0
150.165,626.008,-0.446,0.451,-0.216,0
150.256,625.965,-0.446,0.451,-0.216,0
150.346,625.921,-0.446,0.451,-0.216,0
150.437,625.878,-0.446,0.451,-0.216,0
150.528,625.835,-0.446,0.451,-0.216,0
150.618,625.791,-0.446,0.451,-0.216,0
150.709,625.748,-0.446,0.451,-0.216,0
150.799,625.705,-0.446,0.451,-0.216,0
150.89,625.661,-0.446,0.451,-0.216,0
150.98,625.618,-0.446,0.451,-0.216,0
151.071,625.575,-0.446,0.451,-0.216,0
151.161,625.531,-0.446,0.451,-0.216,0
