x,y,theta,x_dot,y_dot,theta_dot
-1,4.05,1.571,0,0.5,0
-1,4.04445,1.571,0,0.5,0
-1,4.0389,1.571,0,0.5,0
-1,4.03335,1.571,0,0.5,0
-1,4.0278,1.571,0,0.5,0
-1,4.0222,1.571,0,0.5,0
-1,4.01665,1.571,0,0.5,0
-1,4.0111,1.571,0,0.5,0
-1,4.00555,1.571,0,0.5,0
-1,4,0,0.5,0,0
-0.99445,4,0,0.5,0,0
-0.9889,4,0,0.5,0,0
-0.98335,4,0,0.5,0,0
-0.9778,4,0,0.5,0,0
-0.9722,4,0,0.5,0,0
-0.96665,4,0,0.5,0,0
-0.9611,4,0,0.5,0,0
-0.95555,4,0,0.5,0,0
-0.95,4,0,0.5,0,0
-0.94445,4,0,0.5,0,0
-0.9389,4,0,0.5,0,0
-0.93335,4,0,0.5,0,0
-0.9278,4,0,0.5,0,0
-0.9222,4,0,0.5,0,0
-0.91665,4,0,0.5,0,0
-0.9111,4,0,0.5,0,0
-0.90555,4,0,0.5,0,0
-0.9,4,1.571,0,0.5,0
-0.9,3.99445,1.571,0,0.5,0
-0.9,3.9889,1.571,0,0.5,0
-0.9,3.98335,1.571,0,0.5,0
-0.9,3.9778,1.571,0,0.5,0
-0.9,3.9722,1.571,0,0.5,0
-0.9,3.96665,1.571,0,0.5,0
-0.9,3.9611,1.571,0,0.5,0
-0.9,3.95555,1.571,0,0.5,0
-0.9,3.95,0,0.5,0,0
-0.89445,3.95,0,0.5,0,0
-0.8889,3.95,0,0.5,0,0
-0.88335,3.95,0,0.5,0,0
-0.8778,3.95,0,0.5,0,0
-0.8722,3.95,0,0.5,0,0
-0.86665,3.95,0,0.5,0,0
-0.8611,3.95,0,0.5,0,0
-0.85555,3.95,0,0.5,0,0
-0.85,3.95,1.571,0,0.5,0
-0.85,3.94445,1.571,0,0.5,0
-0.85,3.9389,1.571,0,0.5,0
-0.85,3.93335,1.571,0,0.5,0
-0.85,3.9278,1.571,0,0.5,0
-0.85,3.9222,1.571,0,0.5,0
-0.85,3.91665,1.571,0,0.5,0
-0.85,3.9111,1.571,0,0.5,0
-0.85,3.90555,1.571,0,0.5,0
-0.85,3.9,0,0.5,0,0
-0.84445,3.9,0,0.5,0,0
-0.8389,3.9,0,0.5,0,0
-0.83335,3.9,0,0.5,0,0
-0.8278,3.9,0,0.5,0,0
-0.8222,3.9,0,0.5,0,0
-0.81665,3.9,0,0.5,0,0
-0.8111,3.9,0,0.5,0,0
-0.80555,3.9,0,0.5,0,0
-0.8,3.9,0,0.5,0,0
-0.79445,3.9,0,0.5,0,0
-0.7889,3.9,0,0.5,0,0
-0.78335,3.9,0,0.5,0,0
-0.7778,3.9,0,0.5,0,0
-0.7722,3.9,0,0.5,0,0
-0.76665,3.9,0,0.5,0,0
-0.7611,3.9,0,0.5,0,0
-0.75555,3.9,0,0.5,0,0
-0.75,3.9,1.571,0,0.5,0
-0.75,3.89445,1.571,0,0.5,0
-0.75,3.8889,1.571,0,0.5,0
-0.75,3.88335,1.571,0,0.5,0
-0.75,3.8778,1.571,0,0.5,0
-0.75,3.8722,1.571,0,0.5,0
-0.75,3.86665,1.571,0,0.5,0
-0.75,3.8611,1.571,0,0.5,0
-0.75,3.85555,1.571,0,0.5,0
-0.75,3.85,0,0.5,0,0
-0.74445,3.85,0,0.5,0,0
-0.7389,3.85,0,0.5,0,0
-0.73335,3.85,0,0.5,0,0
-0.7278,3.85,0,0.5,0,0
-0.7222,3.85,0,0.5,0,0
-0.71665,3.85,0,0.5,0,0
-0.7111,3.85,0,0.5,0,0
-0.70555,3.85,0,0.5,0,0
-0.7,3.85,0,0.5,0,0
-0.69445,3.85,0,0.5,0,0
-0.6889,3.85,0,0.5,0,0
-0.68335,3.85,0,0.5,0,0
-0.6778,3.85,0,0.5,0,0
-0.6722,3.85,0,0.5,0,0
-0.66665,3.85,0,0.5,0,0
-0.6611,3.85,0,0.5,0,0
-0.65555,3.85,0,0.5,0,0
-0.65,3.85,1.571,0,0.5,0
-0.65,3.84445,1.571,0,0.5,0
-0.65,3.8389,1.571,0,0.5,0
-0.65,3.83335,1.571,0,0.5,0
-0.65,3.8278,1.571,0,0.5,0
-0.65,3.8222,1.571,0,0.5,0
-0.65,3.81665,1.571,0,0.5,0
-0.65,3.8111,1.571,0,0.5,0
-0.65,3.80555,1.571,0,0.5,0
-0.65,3.8,0,0.5,0,0
-0.64445,3.8,0,0.5,0,0
-0.6389,3.8,0,0.5,0,0
