x,y,theta,x_dot,y_dot,theta_dot
-1.55,-0.75,0.7854,0.2828,0.2828,0
-1.5,-0.7,0.7854,0.2828,0.2828,0
-1.45,-0.65,0.7854,0.2828,0.2828,0
-1.4,-0.6,0.7854,0.2828,0.2828,0
-1.35,-0.55,0.7854,0.2828,0.2828,0
-1.3,-0.5,0.7854,0.2828,0.2828,0
-1.25,-0.45,0.7854,0.2828,0.2828,0
-1.2,-0.4,0.7854,0.2828,0.2828,0
-1.15,-0.35,0.7854,0.2828,0.2828,0
-1.1,-0.3,0.7854,0.2828,0.2828,0
-1.05,-0.25,1.5708,0.0,0.4,0
-1.05,-0.2,0.7854,0.2828,0.2828,0
-1.0,-0.15,0.7854,0.2828,0.2828,0
-0.95,-0.1,1.5708,0.0,0.4,0
-0.95,-0.05,0.7854,0.2828,0.2828,0
-0.9,0.0,0.7854,0.2828,0.2828,0
-0.85,0.05,1.5708,0.0,0.4,0
-0.85,0.1,0.7854,0.2828,0.2828,0
-0.8,0.15,1.5708,0.0,0.4,0
-0.8,0.2,0.7854,0.2828,0.2828,0
-0.75,0.25,1.5708,0.0,0.4,0
-0.75,0.3,1.5708,0.0,0.4,0
-0.75,0.35,0.7854,0.2828,0.2828,0
-0.7,0.4,1.5708,0.0,0.4,0
-0.7,0.45,1.5708,0.0,0.4,0
-0.7,0.5,1.5708,0.0,0.4,0
-0.7,0.55,0.7854,0.2828,0.2828,0
-0.65,0.6,1.5708,0.0,0.4,0
-0.65,0.65,1.5708,0.0,0.4,0
-0.65,0.7,1.5708,0.0,0.4,0
-0.65,0.75,1.5708,0.0,0.4,0
-0.65,0.8,1.5708,0.0,0.4,0
-0.65,0.85,1.5708,0.0,0.4,0
-0.65,0.9,1.5708,0.0,0.4,0
-0.65,0.95,1.5708,0.0,0.4,0
-0.65,1.0,1.5708,0.0,0.4,0
-0.65,1.05,1.5708,0.0,0.4,0
-0.65,1.1,1.5708,0.0,0.4,0
-0.65,1.15,1.5708,0.0,0.4,0
-0.65,1.2,3.14,-0.4,0.0006,0
-0.7,1.2,1.5708,0.0,0.4,0
-0.7,1.25,1.5708,0.0,0.4,0
-0.7,1.3,1.5708,0.0,0.4,0
-0.7,1.35,1.5708,0.0,0.4,0
-0.7,1.4,1.5708,0.0,0.4,0
-0.7,1.45,3.14,-0.4,0.0006,0
-0.75,1.45,1.5708,0.0,0.4,0
-0.75,1.5,1.5708,0.0,0.4,0
-0.75,1.55,1.5708,0.0,0.4,0
-0.75,1.6,1.5708,0.0,0.4,0
-0.75,1.65,3.14,-0.4,0.0006,0
-0.8,1.65,1.5708,0.0,0.4,0
-0.8,1.7,1.5708,0.0,0.4,0
-0.8,1.75,1.5708,0.0,0.4,0
-0.8,1.8,3.14,-0.4,0.0006,0
-0.85,1.8,1.5708,0.0,0.4,0
-0.85,1.85,1.5708,0.0,0.4,0
-0.85,1.9,1.5708,0.0,0.4,0
-0.85,1.95,3.14,-0.4,0.0006,0
-0.9,1.95,1.5708,0.0,0.4,0
-0.9,2.0,1.5708,0.0,0.4,0
-0.9,2.05,1.5708,0.0,0.4,0
-0.9,2.1,3.14,-0.4,0.0006,0
-0.95,2.1,1.5708,0.0,0.4,0
-0.95,2.15,1.5708,0.0,0.4,0
-0.95,2.2,3.14,-0.4,0.0006,0
-1.0,2.2,1.5708,0.0,0.4,0
-1.0,2.25,1.5708,0.0,0.4,0
-1.0,2.3,1.5708,0.0,0.4,0
-1.0,2.35,3.14,-0.4,0.0006,0
-1.05,2.35,1.5708,0.0,0.4,0
-1.05,2.4,1.5708,0.0,0.4,0
-1.05,2.45,1.5708,0.0,0.4,0
-1.05,2.5,3.14,-0.4,0.0006,0
-1.1,2.5,1.5708,0.0,0.4,0
-1.1,2.55,1.5708,0.0,0.4,0
-1.1,2.6,3.14,-0.4,0.0006,0
-1.15,2.6,1.5708,0.0,0.4,0
-1.15,2.65,1.5708,0.0,0.4,0
-1.15,2.7,1.5708,0.0,0.4,0
-1.15,2.75,1.5708,0.0,0.4,0
-1.15,2.8,3.14,-0.4,0.0006,0
-1.2,2.8,1.5708,0.0,0.4,0
-1.2,2.85,1.5708,0.0,0.4,0
-1.2,2.9,1.5708,0.0,0.4,0
-1.2,2.95,3.14,-0.4,0.0006,0
-1.25,2.95,1.5708,0.0,0.4,0
-1.25,3.0,1.5708,0.0,0.4,0
-1.25,3.05,1.5708,0.0,0.4,0
-1.25,3.1,1.5708,0.0,0.4,0
-1.25,3.15,3.14,-0.4,0.0006,0
-1.3,3.15,1.5708,0.0,0.4,0
-1.3,3.2,1.5708,0.0,0.4,0
-1.3,3.25,1.5708,0.0,0.4,0
-1.3,3.3,1.5708,0.0,0.4,0
-1.3,3.35,1.5708,0.0,0.4,0
-1.3,3.4,1.5708,0.0,0.4,0
-1.3,3.45,3.14,-0.4,0.0006,0
-1.35,3.45,1.5708,0.0,0.4,0
-1.35,3.5,1.5708,0.0,0.4,0
-1.35,3.55,1.5708,0.0,0.4,0
-1.35,3.6,1.5708,0.0,0.4,0
-1.35,3.65,1.5708,0.0,0.4,0
-1.35,3.7,1.5708,0.0,0.4,0
-1.35,3.75,1.5708,0.0,0.4,0
-1.35,3.8,1.5708,0.0,0.4,0
-1.35,3.85,1.5708,0.0,0.4,0
-1.35,3.9,1.5708,0.0,0.4,0
-1.35,3.95,1.5708,0.0,0.4,0
-1.35,4.0,1.5708,0.0,0.4,0
-1.35,4.05,1.5708,0.0,0.4,0
-1.35,4.1,1.5708,0.0,0.4,0
-1.35,4.15,1.5708,0.0,0.4,0
-1.35,4.2,1.5708,0.0,0.4,0
-1.35,4.25,0.7854,0.2828,0.2828,0
-1.3,4.3,1.5708,0.0,0.4,0
-1.3,4.35,1.5708,0.0,0.4,0
-1.3,4.4,1.5708,0.0,0.4,0
-1.3,4.45,1.5708,0.0,0.4,0
-1.3,4.5,0.7854,0.2828,0.2828,0
-1.25,4.55,1.5708,0.0,0.4,0
-1.25,4.6,1.5708,0.0,0.4,0
-1.25,4.65,1.5708,0.0,0.4,0
-1.25,4.7,0.7854,0.2828,0.2828,0
-1.2,4.75,1.5708,0.0,0.4,0
-1.2,4.8,1.5708,0.0,0.4,0
